"","remoteness","state","value","year","measure"
"155","Outer Regional","New South Wales","80.099999999999994","2013","Median age at death_years"
"156","Outer Regional","New South Wales","377413","2014","Estimated Resident Population_persons"
"157","Outer Regional","New South Wales","3398","2014","Deaths_no."
"158","Outer Regional","New South Wales","4","2014","Infant mortality rate_rate"
"159","Outer Regional","New South Wales","6.2","2014","Standardised death rate_rate"
"160","Outer Regional","New South Wales","80.099999999999994","2014","Median age at death_years"
"161","Outer Regional","New South Wales","377496","2015","Estimated Resident Population_persons"
"162","Outer Regional","New South Wales","3508","2015","Deaths_no."
"163","Outer Regional","New South Wales","3.7","2015","Infant mortality rate_rate"
"164","Outer Regional","New South Wales","6.2","2015","Standardised death rate_rate"
"165","Outer Regional","New South Wales","80","2015","Median age at death_years"
"166","Outer Regional","New South Wales","378057","2016","Estimated Resident Population_persons"
"167","Outer Regional","New South Wales","3689","2016","Deaths_no."
"168","Outer Regional","New South Wales","3.2","2016","Infant mortality rate_rate"
"169","Outer Regional","New South Wales","6.3","2016","Standardised death rate_rate"
"170","Outer Regional","New South Wales","80","2016","Median age at death_years"
"171","Outer Regional","New South Wales","378749","2017","Estimated Resident Population_persons"
"172","Outer Regional","New South Wales","3566","2017","Deaths_no."
"173","Outer Regional","New South Wales","3.7","2017","Infant mortality rate_rate"
"174","Outer Regional","New South Wales","6.3","2017","Standardised death rate_rate"
"175","Outer Regional","New South Wales","80.2","2017","Median age at death_years"
"176","Outer Regional","New South Wales","379438","2018","Estimated Resident Population_persons"
"177","Outer Regional","New South Wales","3606","2018","Deaths_no."
"178","Outer Regional","New South Wales","4.3","2018","Infant mortality rate_rate"
"179","Outer Regional","New South Wales","6.2","2018","Standardised death rate_rate"
"180","Outer Regional","New South Wales","80.099999999999994","2018","Median age at death_years"
"181","Outer Regional","New South Wales","379860","2019","Estimated Resident Population_persons"
"182","Outer Regional","New South Wales","3773","2019","Deaths_no."
"183","Outer Regional","New South Wales","4.3","2019","Infant mortality rate_rate"
"184","Outer Regional","New South Wales","6.2","2019","Standardised death rate_rate"
"185","Outer Regional","New South Wales","80.2","2019","Median age at death_years"
"186","Outer Regional","New South Wales","379593","2020","Estimated Resident Population_persons"
"187","Outer Regional","New South Wales","3378","2020","Deaths_no."
"188","Outer Regional","New South Wales","4.2","2020","Infant mortality rate_rate"
"189","Outer Regional","New South Wales","6","2020","Standardised death rate_rate"
"190","Outer Regional","New South Wales","80.099999999999994","2020","Median age at death_years"
"191","Outer Regional","New South Wales","378970","2021","Estimated Resident Population_persons"
"192","Outer Regional","New South Wales","3679","2021","Deaths_no."
"193","Outer Regional","New South Wales","3.2","2021","Infant mortality rate_rate"
"194","Outer Regional","New South Wales","6","2021","Standardised death rate_rate"
"195","Outer Regional","New South Wales","80.2","2021","Median age at death_years"
"196","Outer Regional","New South Wales","380023","2022","Estimated Resident Population_persons"
"197","Outer Regional","New South Wales","4003","2022","Deaths_no."
"198","Outer Regional","New South Wales","2.9","2022","Infant mortality rate_rate"
"199","Outer Regional","New South Wales","6","2022","Standardised death rate_rate"
"200","Outer Regional","New South Wales","80.400000000000006","2022","Median age at death_years"
"201","Outer Regional","New South Wales","381972","2023","Estimated Resident Population_persons"
"202","Outer Regional","New South Wales","3885","2023","Deaths_no."
"203","Outer Regional","New South Wales","3.1","2023","Infant mortality rate_rate"
"204","Outer Regional","New South Wales","6.1","2023","Standardised death rate_rate"
"205","Outer Regional","New South Wales","80.599999999999994","2023","Median age at death_years"
"206","Outer Regional","New South Wales","383910","2024","Estimated Resident Population_persons"
"207","Outer Regional","New South Wales","3865","2024","Deaths_no."
"208","Outer Regional","New South Wales","2.7","2024","Infant mortality rate_rate"
"209","Outer Regional","New South Wales","6","2024","Standardised death rate_rate"
"210","Outer Regional","New South Wales","80.8","2024","Median age at death_years"
"211","Inner and Outer Regional","New South Wales","1806117","2011","Estimated Resident Population_persons"
"212","Inner and Outer Regional","New South Wales","16306","2011","Deaths_no."
"213","Inner and Outer Regional","New South Wales","np","2011","Infant mortality rate_rate"
"214","Inner and Outer Regional","New South Wales","np","2011","Standardised death rate_rate"
"215","Inner and Outer Regional","New South Wales","np","2011","Median age at death_years"
"216","Inner and Outer Regional","New South Wales","1817940","2012","Estimated Resident Population_persons"
"217","Inner and Outer Regional","New South Wales","15752","2012","Deaths_no."
"218","Inner and Outer Regional","New South Wales","np","2012","Infant mortality rate_rate"
"219","Inner and Outer Regional","New South Wales","np","2012","Standardised death rate_rate"
"220","Inner and Outer Regional","New South Wales","np","2012","Median age at death_years"
"221","Inner and Outer Regional","New South Wales","1830474","2013","Estimated Resident Population_persons"
"222","Inner and Outer Regional","New South Wales","16015","2013","Deaths_no."
"223","Inner and Outer Regional","New South Wales","4.2","2013","Infant mortality rate_rate"
"224","Inner and Outer Regional","New South Wales","6.2","2013","Standardised death rate_rate"
"225","Inner and Outer Regional","New South Wales","81.099999999999994","2013","Median age at death_years"
"226","Inner and Outer Regional","New South Wales","1843392","2014","Estimated Resident Population_persons"
"227","Inner and Outer Regional","New South Wales","16598","2014","Deaths_no."
"228","Inner and Outer Regional","New South Wales","4.2","2014","Infant mortality rate_rate"
"229","Inner and Outer Regional","New South Wales","6","2014","Standardised death rate_rate"
"230","Inner and Outer Regional","New South Wales","81.099999999999994","2014","Median age at death_years"
"231","Inner and Outer Regional","New South Wales","1855942","2015","Estimated Resident Population_persons"
